#    L    TT             EE             TE             PP             TP          
     2    0.10714E+04    0.35093E-01    0.28649E+01    0.10914E+07    0.29354E+05
     3    0.10137E+04    0.47709E-01    0.32848E+01    0.16776E+07    0.35007E+05
     4    0.95855E+03    0.44418E-01    0.31504E+01    0.21985E+07    0.37653E+05
     5    0.91688E+03    0.32250E-01    0.27441E+01    0.26584E+07    0.38687E+05
     6    0.88791E+03    0.19551E-01    0.22592E+01    0.30641E+07    0.38820E+05
     7    0.86904E+03    0.10795E-01    0.18062E+01    0.34237E+07    0.38439E+05
     8    0.85742E+03    0.63637E-02    0.14377E+01    0.37438E+07    0.37767E+05
     9    0.85149E+03    0.46348E-02    0.11715E+01    0.40301E+07    0.36935E+05
    10    0.84988E+03    0.39509E-02    0.10055E+01    0.42863E+07    0.36023E+05
    11    0.85141E+03    0.34560E-02    0.92422E+00    0.45174E+07    0.35094E+05
    12    0.85590E+03    0.29977E-02    0.90716E+00    0.47242E+07    0.34147E+05
    13    0.86208E+03    0.26915E-02    0.93230E+00    0.49118E+07    0.33232E+05
    14    0.86976E+03    0.26132E-02    0.98143E+00    0.50804E+07    0.32319E+05
    15    0.87862E+03    0.27341E-02    0.10418E+01    0.52334E+07    0.31429E+05
    16    0.88888E+03    0.29894E-02    0.11064E+01    0.53719E+07    0.30545E+05
    17    0.89993E+03    0.33467E-02    0.11707E+01    0.54962E+07    0.29681E+05
    18    0.91139E+03    0.38173E-02    0.12336E+01    0.56093E+07    0.28843E+05
    19    0.92436E+03    0.44362E-02    0.12978E+01    0.57115E+07    0.28043E+05
    20    0.93762E+03    0.52184E-02    0.13637E+01    0.58032E+07    0.27262E+05
    21    0.95136E+03    0.61663E-02    0.14319E+01    0.58858E+07    0.26510E+05
    22    0.96549E+03    0.72735E-02    0.15024E+01    0.59604E+07    0.25789E+05
    23    0.98001E+03    0.85357E-02    0.15741E+01    0.60274E+07    0.25100E+05
    24    0.99494E+03    0.99518E-02    0.16448E+01    0.60868E+07    0.24445E+05
    25    0.10102E+04    0.11525E-01    0.17132E+01    0.61401E+07    0.23816E+05
    26    0.10258E+04    0.13259E-01    0.17777E+01    0.61874E+07    0.23204E+05
    27    0.10418E+04    0.15160E-01    0.18360E+01    0.62289E+07    0.22615E+05
    28    0.10579E+04    0.17233E-01    0.18862E+01    0.62654E+07    0.22051E+05
    29    0.10745E+04    0.19486E-01    0.19278E+01    0.62970E+07    0.21512E+05
    30    0.10912E+04    0.21931E-01    0.19617E+01    0.63244E+07    0.20987E+05
    31    0.11082E+04    0.24582E-01    0.19877E+01    0.63472E+07    0.20476E+05
    32    0.11254E+04    0.27449E-01    0.20058E+01    0.63665E+07    0.19986E+05
    33    0.11429E+04    0.30538E-01    0.20151E+01    0.63823E+07    0.19520E+05
    34    0.11605E+04    0.33853E-01    0.20171E+01    0.63946E+07    0.19070E+05
    35    0.11784E+04    0.37402E-01    0.20109E+01    0.64037E+07    0.18633E+05
    36    0.11965E+04    0.41194E-01    0.19953E+01    0.64101E+07    0.18211E+05
    37    0.12148E+04    0.45235E-01    0.19697E+01    0.64139E+07    0.17807E+05
    38    0.12333E+04    0.49531E-01    0.19343E+01    0.64150E+07    0.17418E+05
    39    0.12520E+04    0.54083E-01    0.18884E+01    0.64138E+07    0.17041E+05
    40    0.12708E+04    0.58895E-01    0.18310E+01    0.64104E+07    0.16677E+05
    41    0.12900E+04    0.63977E-01    0.17611E+01    0.64049E+07    0.16325E+05
    42    0.13092E+04    0.69334E-01    0.16796E+01    0.63976E+07    0.15984E+05
    43    0.13287E+04    0.74973E-01    0.15870E+01    0.63886E+07    0.15654E+05
    44    0.13482E+04    0.80893E-01    0.14821E+01    0.63778E+07    0.15335E+05
    45    0.13681E+04    0.87103E-01    0.13639E+01    0.63654E+07    0.15027E+05
    46    0.13882E+04    0.93614E-01    0.12335E+01    0.63515E+07    0.14729E+05
    47    0.14083E+04    0.10041E+00    0.10921E+01    0.63363E+07    0.14437E+05
    48    0.14286E+04    0.10751E+00    0.93777E+00    0.63199E+07    0.14155E+05
    49    0.14492E+04    0.11490E+00    0.76913E+00    0.63023E+07    0.13886E+05
    50    0.14700E+04    0.12260E+00    0.58722E+00    0.62835E+07    0.13624E+05
    51    0.14908E+04    0.13061E+00    0.39330E+00    0.62637E+07    0.13368E+05
    52    0.15120E+04    0.13890E+00    0.18585E+00    0.62431E+07    0.13118E+05
    53    0.15335E+04    0.14752E+00   -0.36737E-01    0.62215E+07    0.12879E+05
    54    0.15550E+04    0.15643E+00   -0.27305E+00    0.61990E+07    0.12648E+05
    55    0.15766E+04    0.16564E+00   -0.52171E+00    0.61757E+07    0.12422E+05
    56    0.15985E+04    0.17516E+00   -0.78410E+00    0.61518E+07    0.12202E+05
    57    0.16207E+04    0.18497E+00   -0.10618E+01    0.61272E+07    0.11989E+05
    58    0.16432E+04    0.19510E+00   -0.13537E+01    0.61020E+07    0.11782E+05
    59    0.16657E+04    0.20553E+00   -0.16585E+01    0.60762E+07    0.11580E+05
    60    0.16883E+04    0.21622E+00   -0.19752E+01    0.60498E+07    0.11383E+05
    61    0.17115E+04    0.22720E+00   -0.23032E+01    0.60230E+07    0.11192E+05
    62    0.17347E+04    0.23845E+00   -0.26440E+01    0.59958E+07    0.11006E+05
    63    0.17580E+04    0.24997E+00   -0.29992E+01    0.59681E+07    0.10825E+05
    64    0.17817E+04    0.26181E+00   -0.33708E+01    0.59400E+07    0.10650E+05
    65    0.18055E+04    0.27397E+00   -0.37600E+01    0.59116E+07    0.10479E+05
    66    0.18296E+04    0.28641E+00   -0.41654E+01    0.58829E+07    0.10313E+05
    67    0.18538E+04    0.29912E+00   -0.45849E+01    0.58539E+07    0.10151E+05
    68    0.18783E+04    0.31212E+00   -0.50168E+01    0.58247E+07    0.99930E+04
    69    0.19031E+04    0.32533E+00   -0.54583E+01    0.57952E+07    0.98392E+04
    70    0.19282E+04    0.33878E+00   -0.59099E+01    0.57655E+07    0.96892E+04
    71    0.19536E+04    0.35242E+00   -0.63727E+01    0.57356E+07    0.95429E+04
    72    0.19791E+04    0.36626E+00   -0.68480E+01    0.57056E+07    0.94002E+04
    73    0.20048E+04    0.38026E+00   -0.73366E+01    0.56754E+07    0.92609E+04
    74    0.20307E+04    0.39445E+00   -0.78376E+01    0.56451E+07    0.91249E+04
    75    0.20569E+04    0.40884E+00   -0.83498E+01    0.56147E+07    0.89921E+04
    76    0.20833E+04    0.42345E+00   -0.88735E+01    0.55842E+07    0.88624E+04
    77    0.21099E+04    0.43827E+00   -0.94086E+01    0.55537E+07    0.87357E+04
    78    0.21369E+04    0.45332E+00   -0.99562E+01    0.55230E+07    0.86120E+04
    79    0.21640E+04    0.46853E+00   -0.10512E+02    0.54924E+07    0.84911E+04
